GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_019091475.1	27657758	GCF_019091475.1	27672458	
GCA_019104725.1	27677098	GCF_019104725.1	27739438	
GCA_019192735.1	27829468	GCF_019192735.1	28003638	
GCA_019203225.1	27840518	GCF_019203225.1	27911318	
GCA_019219635.1	27862578	GCF_019219635.1	30160608	
GCA_019219645.1	27862598	GCF_019219645.1	28003158	
GCA_019219685.1	27862618	GCF_019219685.1	28002338	
GCA_019219825.1	27862758	GCF_019219825.1	27911238	
GCA_019286195.1	27952368	GCF_019286195.1	27989248	
GCA_019286295.1	27952428	GCF_019286295.1	27989008	
GCA_019287315.1	27953428	GCF_019287315.1	27989228	
GCA_019303475.1	27977378	GCF_019303475.1	28056478	
GCA_019303495.1	27977398	GCF_019303495.1	28054488	
GCA_019336385.1	28021588	GCF_019336385.1	28069628	
GCA_019350955.1	28036258	GCF_019350955.1	28071768	
GCA_019378935.1	28079248	GCF_019378935.1	28149868	
GCA_019389735.1	28090268	GCF_019389735.1	28147608	
GCA_019389775.1	28090318	GCF_019389775.1	28147588	
GCA_019389795.1	28090328	GCF_019389795.1	28144668	
GCA_019389835.1	28090368	GCF_019389835.1	28147548	
GCA_019399205.1	28099748	GCF_019399205.1	28147228	
GCA_019399235.1	28099788	GCF_019399235.1	28146908	
GCA_019400875.1	28101708	GCF_019400875.1	28155068	
GCA_019400985.1	28101768	GCF_019400985.1	28154228	
GCA_019456635.1	28195908	GCF_019456635.1	28202018	
GCA_019505165.1	28252668	GCF_019505165.1	28321368	
GCA_019599145.1	28349958	GCF_019599145.1	28466348	
GCA_019641555.1	28399738	GCF_019641555.1	28474388	
GCA_019703895.1	28492008	GCF_019703895.1	28506988	
GCA_019710745.1	28503388	GCF_019710745.1	28515768	
GCA_019733235.1	28531038	GCF_019733235.1	28564808	
GCA_019733245.1	28531058	GCF_019733245.1	28564828	
GCA_019733325.1	28531138	GCF_019733325.1	28564768	
GCA_019774615.1	28588108	GCF_019774615.1	28598268	
GCA_019798105.1	28623208	GCF_019798105.1	28645778	
GCA_019831915.1	28663438	GCF_019831915.1	28696688	
GCA_019857225.1	28689948	GCF_019857225.1	28723288	
GCA_019880305.1	28725668	GCF_019880305.1	28736868	
GCA_019880525.1	28725888	GCF_019880525.1	28773288	
GCA_019890615.1	28736148	GCF_019890615.1	28773168	
GCA_019890635.1	28736178	GCF_019890635.1	28773468	
GCA_019890645.1	28736188	GCF_019890645.1	28773368	
GCA_019890725.1	28736258	GCF_019890725.1	28772968	
GCA_019933235.1	28801118	GCF_019933235.1	29047208	
GCA_020010905.1	28886328	GCF_020010905.1	29052398	
GCA_020010925.1	28886348	GCF_020010925.1	37889578	
GCA_020024005.1	28899768	GCF_020024005.1	29051378	
GCA_020026305.1	28903128	GCF_020026305.1	29051618	
GCA_020034615.1	28911598	GCF_020034615.1	29051638	
GCA_020037025.1	28915098	GCF_020037025.1	29051598	
GCA_020092025.1	28971558	GCF_020092025.1	29102388	
GCA_020092035.1	28971568	GCF_020092035.1	29102528	
GCA_020092045.1	28971578	GCF_020092045.1	29103148	
GCA_020092085.1	28971598	GCF_020092085.1	29103248	
GCA_020092095.1	28971618	GCF_020092095.1	29099188	
GCA_020092125.1	28971638	GCF_020092125.1	29103608	
GCA_020092145.1	28971658	GCF_020092145.1	29104838	
GCA_020092165.1	28971688	GCF_020092165.1	29099208	
GCA_020092175.1	28971698	GCF_020092175.1	29100988	
GCA_020092205.1	28971718	GCF_020092205.1	29103288	
GCA_020092225.1	28971738	GCF_020092225.1	29102828	
GCA_020092245.1	28971778	GCF_020092245.1	29103448	
GCA_020092255.1	28971788	GCF_020092255.1	29104598	
GCA_020092265.1	28971798	GCF_020092265.1	29103568	
GCA_020092305.1	28971818	GCF_020092305.1	29103408	
GCA_020092325.1	28971838	GCF_020092325.1	29102238	
GCA_020092345.1	28971858	GCF_020092345.1	29104278	
GCA_020092355.1	28971908	GCF_020092355.1	29103628	
GCA_020092365.1	28971898	GCF_020092365.1	29104638	
GCA_020092375.1	28971918	GCF_020092375.1	29097268	
GCA_020092425.1	28971938	GCF_020092425.1	29101858	
GCA_020092445.1	28971958	GCF_020092445.1	29103108	
GCA_020092465.1	28971978	GCF_020092465.1	29102058	
GCA_020092485.1	28971998	GCF_020092485.1	29104718	
GCA_020092505.1	28972018	GCF_020092505.1	29102218	
GCA_020092525.1	28972038	GCF_020092525.1	29104558	
GCA_020092545.1	28972058	GCF_020092545.1	29104318	
GCA_020092565.1	28972078	GCF_020092565.1	29104458	
GCA_020092585.1	28972098	GCF_020092585.1	29101248	
GCA_020092605.1	28972118	GCF_020092605.1	29102258	
GCA_020092625.1	28972138	GCF_020092625.1	29103798	
GCA_020092645.1	28972158	GCF_020092645.1	29102298	
GCA_020092665.1	28972178	GCF_020092665.1	29102158	
GCA_020092675.1	28972208	GCF_020092675.1	29102368	
GCA_020092695.1	28972218	GCF_020092695.1	29102118	
GCA_020092725.1	28972238	GCF_020092725.1	29104238	
GCA_020093395.1	28976228	GCF_020093395.1	29103208	
GCA_020099395.1	28994438	GCF_020099395.1	29104358	
GCA_020103755.1	28998808	GCF_020103755.1	29101838	
GCA_020166595.1	29077668	GCF_020166595.1	29138218	
GCA_020176795.1	29116108	GCF_020176795.1	29206408	
GCA_020177475.1	29117858	GCF_020177475.1	29207728	
GCA_020180955.1	29123828	GCF_020180955.1	29208028	
GCA_020181035.1	29123908	GCF_020181035.1	29209228	
GCA_020312175.1	29315618	GCF_020312175.1	29403908	
GCA_020312215.1	29315668	GCF_020312215.1	29403968	
GCA_020312235.1	29315688	GCF_020312235.1	29404468	
GCA_020312255.1	29315728	GCF_020312255.1	29405028	
GCA_020312265.1	29315738	GCF_020312265.1	29404148	
GCA_020312315.1	29315768	GCF_020312315.1	29403588	
GCA_020328095.1	29332768	GCF_020328095.1	29404548	
GCA_020341595.1	29355568	GCF_020341595.1	29405008	
GCA_020400585.1	29416008	GCF_020400585.1	29421848	
GCA_020400595.1	29416018	GCF_020400595.1	29421748	
GCA_020400605.1	29416028	GCF_020400605.1	29421048	
GCA_020400645.1	29416058	GCF_020400645.1	29422128	
GCA_020400655.1	29416068	GCF_020400655.1	29421488	
GCA_020400685.1	29416098	GCF_020400685.1	29421568	
GCA_020400725.1	29416128	GCF_020400725.1	29421148	
GCA_020400825.1	29416238	GCF_020400825.1	29422148	
GCA_020404845.1	29420768	GCF_020404845.1	29487068	
GCA_020410765.1	29433208	GCF_020410765.1	29570978	
GCA_020515735.1	29612428	GCF_020515735.1	29654188	
GCA_020521255.1	29647748	GCF_020521255.1	29664408	
GCA_020521275.1	29647768	GCF_020521275.1	29662528	
GCA_020521295.1	29647828	GCF_020521295.1	29663508	
GCA_020521315.1	29647848	GCF_020521315.1	29664488	
GCA_020532625.1	29662168	GCF_020532625.1	29695958	
GCA_020532645.1	29662188	GCF_020532645.1	29696358	
GCA_020535385.1	29667828	GCF_020535385.1	29787588	
GCA_020564935.1	29744048	GCF_020564935.1	29824508	
GCA_020616555.1	29798828	GCF_020616555.1	29870168	
GCA_020639365.1	29821848	GCF_020639365.1	30216918	
GCA_020640855.1	29823348	GCF_020640855.1	30216218	
GCA_020685565.1	29888638	GCF_020685565.1	29942738	
GCA_020685665.1	29888738	GCF_020685665.1	29942998	
GCA_020739505.1	29949838	GCF_020739505.1	29958838	
GCA_020740535.1	29951528	GCF_020740535.1	29979798	
GCA_020740835.1	29951978	GCF_020740835.1	30216818	
GCA_020740895.1	29952038	GCF_020740895.1	30217438	
GCA_020741675.1	29952818	GCF_020741675.1	42133158	
GCA_020783455.1	29999638	GCF_020783455.1	30027868	
GCA_020783515.1	29999698	GCF_020783515.1	30051208	
GCA_020783535.1	29999718	GCF_020783535.1	30051288	
GCA_020783555.1	29999738	GCF_020783555.1	30051328	
GCA_020783575.1	29999758	GCF_020783575.1	30051128	
GCA_020783595.1	29999778	GCF_020783595.1	30051448	
GCA_020783615.1	29999798	GCF_020783615.1	30051368	
GCA_020783635.1	29999818	GCF_020783635.1	30051348	
GCA_020790115.1	30032568	GCF_020790115.1	30051428	
GCA_020819595.1	30064518	GCF_020819595.1	30115838	
GCA_020861705.1	30123888	GCF_020861705.1	30161948	
GCA_020873815.1	30143548	GCF_020873815.1	30161288	
GCA_020873855.1	30143568	GCF_020873855.1	30160928	
